processes,threads,time
1,1,12.48314905166626
1,2,6.409812688827515
1,5,6.107515573501587
1,10,6.3299524784088135
1,25,6.21195125579834
1,50,6.563396692276001
2,1,6.549526214599609
2,2,6.656538724899292
2,5,6.376149654388428
2,10,6.9542014598846436
2,25,6.562734127044678
2,50,7.212470054626465
3,1,6.680176496505737
3,2,7.727933168411255
3,5,7.36177396774292
3,10,7.039641857147217
3,25,8.451636791229248
3,50,6.243313312530518
4,1,7.572986364364624
4,2,8.709786653518677
4,5,7.539781332015991
4,10,8.672459840774536
4,25,7.397760629653931
4,50,6.853748083114624
5,1,9.435168504714966
5,2,7.541523694992065
5,5,8.919311046600342
5,10,7.884115219116211
5,25,8.50341010093689
5,50,6.943810701370239
